Sensor Barometer,Sensor Ketebalan Awan,Sensor Radiasi Surya,Penghangat
299.07,0.0,0.0,0.0
356.73888888888894,1.1511111111111112,233.08222222222224,10.52111111111111
436.53777777777776,2.1422222222222222,478.2344444444445,22.002222222222223
536.3366666666666,3.4733333333333336,693.5666666666667,31.443333333333328
626.0855555555555,4.224444444444445,818.7488888888889,43.85444444444444
803.8244444444445,5.9255555555555555,1178.8011111111111,57.69555555555556
860.1033333333332,7.126666666666667,1289.8133333333335,67.95666666666666
902.4222222222222,7.887777777777779,1613.1055555555556,84.12777777777777
1044.7911111111111,8.44888888888889,1606.687777777778,82.65888888888888
1195.71,9.24,2096.84,104.33
