Sensor Cancel Order,Sensor Penilaian,Sensor Jumlah Pesanan,Tingkat Keuntungan
0.0,0.94,0.0,0.0
11.02111111111111,1.4444444444444444,1209.7511111111112,11.421111111111111
20.662222222222223,2.0388888888888888,2423.982222222222,23.432222222222222
31.25333333333333,2.473333333333333,3278.023333333333,36.55333333333333
45.84444444444444,2.647777777777778,4160.684444444444,48.324444444444445
57.245555555555555,3.1122222222222224,5144.365555555556,54.355555555555554
60.83666666666666,3.4466666666666663,6975.086666666666,62.706666666666656
85.39777777777778,3.9011111111111108,8062.207777777778,76.01777777777777
85.75888888888889,4.7155555555555555,8525.958888888888,90.79888888888888
104.27,4.76,10680.25,94.09
