Sensor Kelembapan Tanahu,Sensor Intensi Cahaya,Sensor Suhu Udara,Ventilasi
0.0,0.0,-37.03,0.0
11.091111111111111,1119.5411111111111,-26.136666666666663,11.831111111111111
20.822222222222223,2366.652222222222,-13.363333333333332,20.522222222222222
34.66333333333333,3230.543333333333,0.0,33.87333333333333
41.26444444444444,4426.4944444444445,14.243333333333336,48.754444444444445
53.08555555555556,5199.655555555556,25.536666666666672,60.47555555555556
72.68666666666665,6977.826666666666,41.1,72.40666666666665
72.48777777777777,8085.687777777777,57.62333333333334,78.79777777777777
86.72888888888889,9775.028888888888,69.86666666666667,96.47888888888889
108.01,9079.4,80.91,96.94
