Sensor Suhu Tanah,Sensor Kelembapan Udara,Sensor Kadar Co2,Penyiram Air
-37.0,0.0,0.0,0.0
-22.044444444444444,11.841111111111111,521.2155555555555,12.06111111111111
-8.37888888888889,20.49222222222222,1202.9811111111112,22.62222222222222
6.506666666666664,34.22333333333333,1610.5766666666666,31.623333333333328
20.13222222222222,48.02444444444444,2276.7522222222224,47.34444444444444
36.01777777777777,58.705555555555556,2830.4177777777777,56.00555555555556
55.39333333333333,72.42666666666666,3052.833333333333,63.51666666666666
63.26888888888889,79.20777777777778,3679.2788888888886,70.28777777777778
91.24444444444444,93.90888888888888,4519.984444444444,91.48888888888888
91.53,99.73,4563.24,104.07
