Sensor Pendeteksi Gerakan,Sensor Meja Kosong,Sensor Kebisingan,Tingkat Keramaian
0.0,0.0,44.77,0.0
52.135555555555555,11.15111111111111,46.23555555555556,11.04111111111111
111.12111111111112,21.202222222222222,45.141111111111115,24.23222222222222
155.7566666666667,36.133333333333326,47.266666666666666,35.64333333333333
204.17222222222222,46.10444444444444,46.58222222222222,43.074444444444445
287.46777777777777,60.72555555555556,45.507777777777775,50.28555555555556
337.61333333333334,64.87666666666665,47.233333333333334,69.01666666666665
358.0288888888889,74.98777777777777,44.778888888888886,72.53777777777778
448.4244444444445,95.63888888888889,51.474444444444444,82.26888888888888
518.09,98.53,49.42,105.56
