Sensor Oksigen,Sensor Kadar Garam,Sensor Kadar Lemak,Umur Daging
0.0,0.0,0.0,0.0
11.741111111111111,0.5155555555555555,10.64111111111111,10.61111111111111
21.94222222222222,1.1611111111111112,21.822222222222223,22.232222222222223
36.133333333333326,1.6566666666666667,31.90333333333333,33.37333333333333
44.974444444444444,2.4222222222222225,48.144444444444446,48.88444444444444
54.79555555555556,2.5077777777777777,52.36555555555556,60.845555555555556
65.71666666666665,3.6533333333333333,62.50666666666666,72.59666666666666
79.94777777777777,3.5788888888888892,83.03777777777778,71.44777777777777
89.14888888888889,4.004444444444444,90.66888888888889,95.79888888888888
92.25,4.68,101.03,101.95
