Kecepatan Angin,Curah Hujan,Kualitas Air,Penutup Otomatis
0.0,0.0,0.0,0.0
5.025555555555555,21.71222222222222,30.883333333333336,10.251111111111111
10.29111111111111,41.964444444444446,65.15666666666667,21.01222222222222
17.516666666666666,66.61666666666666,99.47,34.22333333333333
20.79222222222222,91.20888888888888,141.91333333333336,47.894444444444446
29.477777777777778,100.07111111111112,176.35666666666668,55.79555555555556
36.07333333333333,126.01333333333332,188.14,66.17666666666666
36.858888888888885,143.45555555555555,243.80333333333334,82.21777777777777
42.114444444444445,183.59777777777776,255.41666666666669,95.98888888888888
52.52,219.39,311.57,104.66
