Sensor Oksigen,Sensor Kadar Garam,Sensor Kadar Lemak,x
0.0,0.0,0.0,0.0
11.45111111111111,0.5855555555555556,10.761111111111111,10.88111111111111
24.40222222222222,1.2011111111111112,20.69222222222222,23.06222222222222
33.79333333333333,1.7766666666666668,31.81333333333333,32.50333333333333
44.69444444444444,2.0122222222222224,48.254444444444445,41.02444444444444
59.93555555555556,2.7877777777777775,53.57555555555556,53.345555555555556
64.64666666666666,3.2633333333333336,68.17666666666666,63.886666666666656
82.94777777777777,3.8888888888888893,72.05777777777777,78.35777777777777
83.29888888888888,4.2444444444444445,94.43888888888888,82.51888888888888
95.71,4.59,90.51,104.24
