Sensor Kadar Sodium,Sensor Kadar Protein,Sensor Kadar Gula,x
0.0,0.0,0.0,0.0
12.04111111111111,11.091111111111111,1.051111111111111,12.14111111111111
23.74222222222222,20.362222222222222,2.312222222222222,20.65222222222222
31.233333333333327,33.61333333333333,3.6133333333333333,33.96333333333333
46.214444444444446,45.48444444444444,4.214444444444444,40.38444444444444
53.965555555555554,58.245555555555555,5.035555555555556,52.15555555555556
69.55666666666666,64.67666666666666,6.736666666666667,68.85666666666665
70.75777777777778,73.29777777777777,7.9077777777777785,76.53777777777778
93.43888888888888,96.42888888888889,8.18888888888889,96.69888888888889
92.15,100.75,9.04,95.64
