Sensor Kadar Sodium,Sensor Kadar Protein,Sensor Kadar Gula,Kualitas Daging
0.0,0.0,0.0,0.0
11.47111111111111,10.54111111111111,1.0611111111111111,10.19111111111111
21.592222222222222,23.85222222222222,2.312222222222222,20.592222222222222
32.75333333333333,31.873333333333328,3.3733333333333335,31.783333333333328
42.934444444444445,46.184444444444445,4.844444444444445,42.724444444444444
52.01555555555556,60.635555555555555,5.145555555555555,52.43555555555556
65.00666666666666,66.76666666666665,6.126666666666667,66.00666666666666
70.64777777777778,71.77777777777777,8.087777777777779,82.33777777777777
81.54888888888888,95.71888888888888,9.71888888888889,89.10888888888888
107.92,97.88,10.55,95.97
