Sensor Suhu,Sensor Kelembapan,Sensor pH,Pendingin
-53.87,0.0,0.0,0.0
-25.44777777777778,11.821111111111112,1.4055555555555557,11.73111111111111
-5.675555555555557,22.702222222222222,3.281111111111111,23.78222222222222
15.616666666666656,33.76333333333333,4.626666666666667,32.44333333333333
36.138888888888886,44.214444444444446,6.262222222222222,45.24444444444444
64.71111111111111,57.635555555555555,8.177777777777777,50.465555555555554
90.25333333333332,68.36666666666666,8.533333333333333,69.39666666666666
112.70555555555555,81.50777777777778,11.78888888888889,81.48777777777777
130.42777777777778,85.18888888888888,12.474444444444444,93.52888888888889
147.71,99.59,13.52,91.16
